"time" "variable" "value" "CellType" "Ref" "TfrModel" "DivMode" "TfrNum" "SelfPerc" "IntTime" "Tmove" "HypModel" "TfhNum" "Redeem" "SelfMode" "Tfh_by_Tfr"
240 "d.3" 0.0078125 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
312 "d.3" 0.0227272727272727 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
360 "d.3" 0 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
0 "d.4" 0 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
24 "d.4" 0.015748031496063 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
48 "d.4" 0.00757575757575758 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
72 "d.4" 0.00763358778625954 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
120 "d.4" 0.015625 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
144 "d.4" 0 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
168 "d.4" 0 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
216 "d.4" 0 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
240 "d.4" 0.0234375 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
312 "d.4" 0 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
360 "d.4" 0 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
0 "d.5" 0 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
24 "d.5" 0.015748031496063 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
48 "d.5" 0.00757575757575758 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
72 "d.5" 0.0229007633587786 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
120 "d.5" 0.015625 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
144 "d.5" 0.0155038759689922 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
168 "d.5" 0.0158730158730159 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
216 "d.5" 0 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
240 "d.5" 0.0078125 "Tfr" "ApoNC_TfhDND_Tfr.125_Self.0.0_IntTime.0.05_R5_BaseLongOut_Tfh.250_Red.0.0_SelfMode.0" "ApoNC" "TfhDND" "Tfr.125" "p_Self=0.0" "IntTime.0.05" "R5" "BaseLongOut" "Tfh.250" "Red.0.0" "SelfMode.0" "2:1"
